,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
21,,2020-02-04 17:01:18,2020-01-31,BAH,Labovich Gary D,EVP,S - Sale,$81.00,-7442,115633,-6%,"-$602,802",,,,,BAH
22,D,2020-02-04 17:00:20,2020-01-31,BAH,Thompson Elizabeth M,"EVP, Chief People Officer",S - Sale+OE,$80.00,-7500,23394,-24%,"-$600,000",,,,,BAH
23,,2020-01-17 16:13:28,2020-01-15,BAH,Labovich Gary D,EVP,S - Sale,$79.03,-8329,123075,-6%,"-$658,241",,,,,BAH
24,M,2020-01-13 18:20:58,2020-01-09,BAH,Anderson Kristine,EVP,S - Sale,$76.00,-10224,13340,-43%,"-$777,024",,,,,BAH
25,,2020-01-13 16:40:35,2020-01-09,BAH,Labovich Gary D,EVP,S - Sale,$76.00,-7648,131404,-6%,"-$581,248",,,,,BAH
26,D,2020-01-13 16:38:59,2020-01-09,BAH,Thompson Elizabeth M,"EVP, Chief People Officer",S - Sale+OE,$75.00,-7500,23394,-24%,"-$562,500",,,,,BAH
27,M,2020-01-09 17:48:07,2020-01-07,BAH,Ling Christopher,EVP,S - Sale,$74.50,-40000,43751,-48%,"-$2,980,000",,,,,BAH
28,D,2020-01-07 16:33:30,2020-01-03,BAH,Penfield Susan L,EVP,S - Sale+OE,$72.65,-43194,18306,-70%,"-$3,138,079",,,,,BAH
29,D,2019-12-26 16:22:46,2019-12-23,BAH,Penfield Susan L,EVP,S - Sale+OE,$72.00,-100,33859,0%,"-$7,200",,,,,BAH
30,D,2019-07-30 17:28:24,2019-07-29,BAH,Rozanski Horacio,"Pres, CEO",S - Sale+OE,$70.70,-45000,552318,-8%,"-$3,181,500",,,,,BAH
31,DM,2019-07-30 17:24:15,2019-07-26,BAH,Laben Nancy,"EVP, CLO, Secretary",S - Sale+OE,$70.27,-35389,23749,-60%,"-$2,486,722",,,,,BAH
32,,2019-07-17 17:12:23,2019-07-15,BAH,Rozanski Horacio,"Pres, CEO",S - Sale,$68.77,-31000,552318,-5%,"-$2,131,870",,,,,BAH
33,,2019-07-10 16:19:55,2019-07-08,BAH,Howell Lloyd Jr,"EVP, CFO, Treasurer",S - Sale,$67.19,-74279,160838,-32%,"-$4,990,806",,,,,BAH
34,,2019-06-07 16:24:28,2019-06-06,BAH,Adams Laura S,"VP, Controller, PAO",S - Sale,$65.63,-780,4439,-15%,"-$51,191",,,,,BAH
35,D,2019-03-12 16:33:03,2019-03-11,BAH,Laben Nancy,"EVP, CLO, Secretary",S - Sale+OE,$55.02,-15000,34430,-30%,"-$825,300",,,,,BAH
36,D,2019-03-05 17:22:19,2019-03-01,BAH,Ling Christopher,EVP,S - Sale+OE,$53.32,-13625,83556,-14%,"-$726,485",,,,,BAH
37,D,2019-02-12 21:10:30,2019-02-11,BAH,Messer Angela M.,"EVP, Chief Transformation Ofc.",S - Sale+OE,$53.45,-27000,77561,-26%,"-$1,443,150",,,,,BAH
38,D,2019-02-12 18:28:42,2019-02-11,BAH,Thompson Elizabeth M,"EVP, Chief People Officer",S - Sale+OE,$54.50,-15000,22310,-40%,"-$817,500",,,,,BAH
39,D,2019-02-08 16:54:04,2019-02-07,BAH,Rossotti Charles O,Dir,S - Sale+OE,$53.26,-10000,110287,-8%,"-$532,600",,,,,BAH
40,D,2019-02-04 16:11:27,2019-01-31,BAH,Rozanski Horacio,"Pres, CEO",S - Sale+OE,$49.00,-45000,574232,-7%,"-$2,205,000",,,,,BAH
41,D,2018-09-06 16:49:54,2018-09-05,BAH,Anderson Kristine,EVP,S - Sale+OE,$51.54,-20000,20898,-49%,"-$1,030,800",,,,,BAH
42,,2018-09-05 16:08:49,2018-09-04,BAH,Shrader Ralph W,Dir,S - Sale,$51.06,-30000,1371089,-2%,"-$1,531,800",,,,,BAH
43,M,2018-08-23 17:29:57,2018-08-21,BAH,McClain Gretchen W,Dir,S - Sale,$50.14,-7000,21272,-25%,"-$351,012",,,,,BAH
44,,2018-08-06 16:35:19,2018-08-02,BAH,Thompson Elizabeth M,"EVP, Chief People Officer",S - Sale,$47.49,-15000,22310,-40%,"-$712,350",,,,,BAH
45,,2018-08-06 16:19:31,2018-08-02,BAH,Shrader Ralph W,Dir,S - Sale,$47.19,-30000,1401089,-2%,"-$1,415,700",,,,,BAH
46,D,2018-07-17 16:11:17,2018-07-16,BAH,Laben Nancy,"EVP, CLO, Secretary",S - Sale+OE,$46.35,-60000,32765,-65%,"-$2,781,000",,,,,BAH
47,DM,2018-06-15 16:34:11,2018-06-13,BAH,Logue Joseph,EVP,S - Sale+OE,$45.22,-72000,297637,-19%,"-$3,256,002",,,,,BAH
48,D,2018-06-15 16:25:53,2018-06-13,BAH,Penfield Susan L,EVP,S - Sale+OE,$45.25,-28040,35384,-44%,"-$1,268,810",,,,,BAH
49,,2018-06-06 16:07:15,2018-06-04,BAH,Shrader Ralph W,Dir,S - Sale,$44.99,-30000,1457927,-2%,"-$1,349,700",,,,,BAH
50,,2018-06-01 16:16:57,2018-05-30,BAH,Dahut Karen M,EVP,S - Sale,$45.02,-46406,125203,-27%,"-$2,089,198",,,,,BAH
51,,2018-05-31 16:53:56,2018-05-29,BAH,Logue Joseph,EVP,S - Sale,$44.00,-50000,297637,-14%,"-$2,200,000",,,,,BAH
52,M,2018-05-30 16:54:52,2018-05-25,BAH,Rozanski Horacio,"Pres, CEO",S - Sale,$42.02,-36560,579923,-6%,"-$1,536,152",,,,,BAH
53,D,2018-05-30 16:46:36,2018-05-29,BAH,Labovich Gary D,EVP,S - Sale+OE,$43.49,-18000,141888,-11%,"-$782,820",,,,,BAH
