,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
54,DM,2021-05-05 12:31:18,2021-05-03,LEVI,Haas Peter E. Jr.,10%,S - Sale+OE,$30.24,-220801,0,-100%,"-$6,677,369",,,,,LEVI
55,DM,2021-05-05 12:25:10,2021-05-03,LEVI,Haas Margaret E.,10%,S - Sale+OE,$30.24,-66241,0,-100%,"-$2,003,232",,,,,LEVI
56,DM,2021-05-05 12:19:09,2021-05-03,LEVI,Haas Daniel S.,10%,S - Sale+OE,$30.24,-70657,0,-100%,"-$2,136,779",,,,,LEVI
57,D,2021-04-29 15:00:46,2021-04-27,LEVI,Haas Peter E. Jr.,10%,S - Sale+OE,$30.04,-802,0,-100%,"-$24,088",,,,,LEVI
58,D,2021-04-29 14:53:03,2021-04-27,LEVI,Haas Daniel S.,10%,S - Sale+OE,$30.04,-257,0,-100%,"-$7,719",,,,,LEVI
59,D,2021-04-29 14:44:35,2021-04-27,LEVI,Haas Margaret E.,10%,S - Sale+OE,$30.04,-241,0,-100%,"-$7,239",,,,,LEVI
60,D,2021-04-27 15:09:09,2021-04-23,LEVI,Haas Peter E. Jr.,10%,S - Sale+OE,$29.59,-100000,0,-100%,"-$2,959,020",,,,,LEVI
61,DM,2021-04-23 18:25:12,2021-04-21,LEVI,Haas Miriam L,10%,S - Sale+OE,$29.12,-100000,0,-100%,"-$2,912,418",,,,,LEVI
62,D,2021-04-20 16:44:54,2021-04-16,LEVI,Haas Daniel S.,10%,S - Sale+OE,$28.45,-28997,0,-100%,"-$824,828",,,,,LEVI
63,D,2021-04-19 21:01:37,2019-03-25,LEVI,Mtb Illiquid LLC,10%,S - Sale+OE,$17.00,-1057710,0,-100%,"-$17,981,070",,,,,LEVI
64,DM,2021-04-19 19:39:08,2021-04-15,LEVI,Haas Jennifer C.,10%,S - Sale+OE,$28.41,-105356,0,-100%,"-$2,992,843",,,,,LEVI
65,DM,2021-04-19 12:42:39,2021-04-15,LEVI,Haas Margaret E.,10%,S - Sale+OE,$27.69,-19803,0,-100%,"-$548,362",,,,,LEVI
66,DM,2021-04-19 12:04:31,2021-04-15,LEVI,Haas Peter E. Jr.,10%,S - Sale+OE,$27.69,-66942,0,-100%,"-$1,853,684",,,,,LEVI
67,DM,2021-04-16 18:58:57,2021-04-16,LEVI,Eisenhardt Elizabeth H,10%,S - Sale+OE,$27.53,-177686,41413,-81%,"-$4,890,841",,,,,LEVI
68,DM,2021-04-16 15:08:44,2021-04-14,LEVI,Haas Daniel S.,10%,S - Sale+OE,$27.40,-221003,60000,-79%,"-$6,056,468",,,,,LEVI
69,DM,2021-04-15 16:58:29,2021-04-13,LEVI,Haas Jennifer C.,10%,S - Sale+OE,$26.81,-12963,0,-100%,"-$347,485",,,,,LEVI
70,DM,2021-04-15 16:52:32,2021-04-13,LEVI,Haas Margaret E.,10%,S - Sale+OE,$26.81,-47935,0,-100%,"-$1,284,940",,,,,LEVI
71,DM,2021-04-15 16:44:45,2021-04-13,LEVI,Haas Peter E. Jr.,10%,S - Sale+OE,$26.81,-162041,0,-100%,"-$4,343,652",,,,,LEVI
72,DM,2021-04-14 14:12:36,2021-04-13,LEVI,Eisenhardt Elizabeth H,10%,S - Sale+OE,$26.37,-322314,54237,-86%,"-$8,498,376",,,,,LEVI
73,DM,2021-04-12 19:36:44,2021-04-08,LEVI,Haas Margaret E.,10%,S - Sale+OE,$25.92,-192653,0,-100%,"-$4,994,104",,,,,LEVI
74,DM,2021-04-12 19:30:47,2021-04-08,LEVI,Haas Peter E. Jr.,10%,S - Sale+OE,$25.92,-651252,0,-100%,"-$16,882,272",,,,,LEVI
75,DM,2021-04-12 19:08:30,2021-04-08,LEVI,Haas Jennifer C.,10%,S - Sale+OE,$25.92,-52099,0,-100%,"-$1,350,551",,,,,LEVI
76,D,2021-03-23 18:44:46,2021-03-22,LEVI,Haas Peter E. Jr.,10%,S - Sale+OE,$25.06,-344,0,-100%,"-$8,621",,,,,LEVI
