,ISIN CODE,NAME,TICKER SYMBOL,trade_count,n_distinct_traders,n_distinct_trade_types,ts_rows,reason_to_exclude
2466,NA,EATON VANCE VOTING COMMON,EV,856,26,9,824.0,Non-unique-ticker
2465,US2782651036,EATON VANCE NV. DEAD - DELIST.01/03/21,EV,856,26,9,1244.0,Non-unique-ticker
2533,NA,EXPENSIFY INC CL B,EXFY,37,11,6,824.0,Non-unique-ticker
2534,NA,EXPENSIFY INC CL C,EXFY,37,11,6,824.0,Non-unique-ticker
2581,NA,FORD MOTOR COMPANY CLASS B,F,1447,91,9,824.0,Non-unique-ticker
743,US3453708600,FORD MOTOR,F,1447,91,9,1509.0,Non-unique-ticker
2560,NA,FIGURE ACQUISITION CORP I CL B,FACA,0,0,0,824.0,Non-unique-ticker
2561,NA,FIGURE ACQUISITION CORP I CL C,FACA,0,0,0,824.0,Non-unique-ticker
2547,NA,FBL FINANCIAL GROUP CLASS B,FFG,883,55,8,824.0,Non-unique-ticker
2548,US30239F1066,FBL FINL.GROUP DEAD - DELIST.26/05/21,FFG,883,55,8,1305.0,Non-unique-ticker
2553,NA,FEDERATED INVRS.'A',FHI,908,25,7,824.0,Non-unique-ticker
710,US3142111034,FEDERATED HERMES B,FHI,908,25,7,1509.0,Non-unique-ticker
2559,NA,FIGS INC CL B,FIGS,44,13,8,824.0,Non-unique-ticker
717,US30260D1037,FIGS A,FIGS,44,13,8,203.0,Non-unique-ticker
2584,NA,FORGEROCK INC CL B,FORG,39,19,5,824.0,Non-unique-ticker
745,US34631B1017,FORGEROCK A,FORG,39,19,5,126.0,Non-unique-ticker
2574,NA,FIVE POINT HOLDINGS LLC CL B,FPH,151,20,7,824.0,Non-unique-ticker
729,US33833Q1067,FIVE POINT HOLDINGS 'A',FPH,151,20,7,1222.0,Non-unique-ticker
725,CA32076V1031,FIRST MAJESTIC (NYS) SILVER,FR,807,32,8,1509.0,Non-unique-ticker
724,US32054K1034,FIRST INDL.REALTY TST.,FR,807,32,8,1509.0,Non-unique-ticker
761,LU2360697374,FREYR BATTERY,FREY,0,0,0,550.0,Non-unique-ticker
2005,NA,ALUSSA ENERGY ACQUISITION CL B,FREY,0,0,0,824.0,Non-unique-ticker
2546,NA,FASTLY INC CL B,FSLY,469,22,7,824.0,Non-unique-ticker
704,US31188V1008,FASTLY A,FSLY,469,22,7,714.0,Non-unique-ticker
3341,NA,SPARTAN ENERGY ACQUISITI ON CORP CL B,FSR,78,16,7,824.0,Non-unique-ticker
728,US33813J1060,FISKER A,FSR,78,16,7,870.0,Non-unique-ticker
702,KY30744W1070,FARFETCH A,FTCH,0,0,0,877.0,Non-unique-ticker
2543,NA,FARFETCH LTD CL B,FTCH,0,0,0,824.0,Non-unique-ticker
2620,NA,GABELLI ASST.MAN.'B',GBL,427,25,9,824.0,Non-unique-ticker
768,US3614381040,GAMCO INVESTORS 'A',GBL,427,25,9,1509.0,Non-unique-ticker
770,US36472T1097,GANNETT,GCI,50,7,5,1509.0,Non-unique-ticker
2625,US36473H1041,GANNETT DEAD - DELIST.20/11/19,GCI,50,7,5,925.0,Non-unique-ticker
2627,NA,GCMAGROSVENORAINC CL B,GCMG,37,10,5,824.0,Non-unique-ticker
2628,NA,GCMAGROSVENORAINC CL C,GCMG,37,10,5,824.0,Non-unique-ticker
830,US3976241071,GREIF 'A',GEF,784,52,8,1509.0,Non-unique-ticker
831,US3976242061,GREIF 'B',GEF,784,52,8,1509.0,Non-unique-ticker
787,GG00BMF1JR16,GENIUS SPORTS,GENI,0,0,0,365.0,Non-unique-ticker
2422,NA,DMY TECHNOLOGY GROUP II INC CL B,GENI,0,0,0,824.0,Non-unique-ticker
2687,NA,GUILD HOLDINGS CO CL B,GHLD,47,15,5,824.0,Non-unique-ticker
841,US40172N1072,GUILD HOLDINGS A,GHLD,47,15,5,352.0,Non-unique-ticker
2681,US39822J1025,GRIFFIN INSTITU ACC REAL ESTATE FUND,GIREX,0,0,0,,Non-unique-ticker
2678,US39822J2015,GRIFFIN INSTITU ACC REAL ESTATE CL C,GIREX,0,0,0,,Non-unique-ticker
2677,US39822J3005,GRIFFIN INSTITU ACC REAL ESTATATE CL B,GIREX,0,0,0,,Non-unique-ticker
2680,US39822J4094,GRIFFIN INSTITU ACC REAL ESTATE CL E,GIREX,0,0,0,,Non-unique-ticker
2679,US39822J5083,GRIFFIN INSTITU ACC REAL ESTATE CL D,GIREX,0,0,0,,Non-unique-ticker
2675,NA,GREENLANE HOLDINGS INC CL B,GNLN,147,20,8,824.0,Non-unique-ticker
2676,NA,GREENLANE HOLDINGS INC CL C,GNLN,147,20,8,824.0,Non-unique-ticker
822,US3893751061,GRAY TELEVISION,GTN,804,25,9,1509.0,Non-unique-ticker
823,US3893752051,GRAY TELEVISION 'A',GTN,804,25,9,1507.0,Non-unique-ticker
2636,NA,GENESEE & WYOMING 'B',GWR,1491,42,9,824.0,Non-unique-ticker
2635,US3715591059,GENESEE & WYOMING 'A' DEAD - DELIST.30/12/19,GWR,1491,42,9,951.0,Non-unique-ticker
2691,NA,HAMILTON BEACH BNS.HDG. CL.B,HBB+WI,627,115,9,824.0,Non-unique-ticker
847,US40701T1043,HAMILTON BEACH BRANDS HDG.CL.A,HBB+WI,627,115,9,1126.0,Non-unique-ticker
2699,NA,HCA NV.,HCA,2364,87,8,824.0,Non-unique-ticker
860,US40412C1018,HCA HEALTHCARE,HCA,2364,87,8,1509.0,Non-unique-ticker
2705,NA,HEALTHCARE SERVICES ACQU CL B,HCAR,6,4,2,824.0,Non-unique-ticker
2728,NA,HOMETOWN AUTO RETLR.'B',HCAR,6,4,2,824.0,Non-unique-ticker
867,US4228061093,HEICO,HEI,591,19,7,1509.0,Non-unique-ticker
868,US4228062083,HEICO NEW 'A',HEI,591,19,7,1509.0,Non-unique-ticker
2713,NA,HEWITT ASSOCIATES 'B',HEW,301,37,8,824.0,Non-unique-ticker
2714,NA,HEWITT ASSOCIATES 'C',HEW,301,37,8,824.0,Non-unique-ticker
3194,NA,REINVENT TECHNOLOGY PARTNERS Z A CL B,HIPO,90,22,5,824.0,Non-unique-ticker
887,US4335391037,HIPPO HOLDINGS A,HIPO,90,22,5,298.0,Non-unique-ticker
2485,NA,EMPOWER LTD CL B,HLLY,48,18,5,824.0,Non-unique-ticker
891,US43538H1032,HOLLEY,HLLY,48,18,5,327.0,Non-unique-ticker
2701,NA,HEALTH MGT ASSOC CLASS B,HMA,0,0,0,824.0,Non-unique-ticker
2702,NA,HEALTH MGT ASSOC CLASS C,HMA,0,0,0,824.0,Non-unique-ticker
2733,BMG464081030,HUDSON A DEAD - DELIST.01/12/20,HUD,0,0,0,713.0,Non-unique-ticker
2735,NA,HUDSON LTD CL B,HUD,0,0,0,824.0,Non-unique-ticker
856,US4195961010,HAVERTY FRTR.COS.,HVT,1054,37,9,1509.0,Non-unique-ticker
857,US4195962000,HAVERTY FRTR.COS.'A',HVT,1054,37,9,1508.0,Non-unique-ticker
3457,NA,TORTOISE ACQUISITION CL B,HYLN,76,22,9,824.0,Non-unique-ticker
913,US4491091074,HYLIION HOLDINGS A,HYLN,76,22,9,733.0,Non-unique-ticker
2743,NA,IDT CORP.,IDT,683,46,8,824.0,Non-unique-ticker
921,US4489475073,IDT 'B',IDT,683,46,8,1509.0,Non-unique-ticker
2786,KYG4771L1059,INVESTINDUSTRIAL ACQUISITION A,IIAC,6,3,2,238.0,Non-unique-ticker
2785,NA,INVESTINDUSTRIAL ACQ. CO CL B,IIAC,6,3,2,824.0,Non-unique-ticker
2755,NA,INFORMATICA INC CL B,INFA,60,11,4,824.0,Non-unique-ticker
929,US45674M1018,INFORMATICA A,INFA,60,11,4,97.0,Non-unique-ticker
3243,NA,SAMSARA INC CL B,IOT,45,17,6,824.0,Non-unique-ticker
1490,US79589L1061,SAMSARA A,IOT,45,17,6,63.0,Non-unique-ticker
963,IL0011763799,IRONSOURCE A,IS,0,0,0,294.0,Non-unique-ticker
3435,NA,THOMA BRAVO ADVANTAGE CL B,IS,0,0,0,824.0,Non-unique-ticker
2769,NA,INTEGRITY MEDIA INCO.,ITGR,873,60,8,824.0,Non-unique-ticker
942,US45826H1095,INTEGER HOLDINGS,ITGR,873,60,8,1509.0,Non-unique-ticker
982,KYG651631007,JOBY AVIATION A,JOBY,73,24,9,340.0,Non-unique-ticker
3193,NA,REINVENT TECHNOLOGY PARTNERS CL B,JOBY,73,24,9,824.0,Non-unique-ticker
2815,NA,JOURNAL COMMUNICATIONS CLASS B,JRN,54,17,5,824.0,Non-unique-ticker
2816,NA,JOURNAL COMMUNICATIONS CLASS C,JRN,54,17,5,824.0,Non-unique-ticker
1877,US9682232064,WILEY JOHN & SONS 'A',JW.A,1216,60,8,1509.0,Non-unique-ticker
1878,US9682233054,WILEY JOHN & SONS 'B',JW.A,1216,60,8,1505.0,Non-unique-ticker
2803,NA,JACKSONAFINANCIAL CL B,JXN+WI,118,33,7,824.0,Non-unique-ticker
972,US46817M1071,JACKSON FINANCIAL CL.A,JXN+WI,118,33,7,136.0,Non-unique-ticker
1011,CA4969024047,KINROSS GOLD (NYS),K,1667,61,8,1509.0,Non-unique-ticker
999,US4878361082,KELLOGG,K,1667,61,8,1509.0,Non-unique-ticker
2825,NA,KEMET CORP.,KEM,687,35,8,824.0,Non-unique-ticker
2826,US4883602074,KEMET DEAD - DELIST.16/06/20,KEM,687,35,8,1066.0,Non-unique-ticker
2833,NA,KHOSLA VENTURES ACQUISITION II CL B,KIND,26,11,4,824.0,Non-unique-ticker
2834,NA,KHOSLA VENTURES ACQUISITION II CL C,KIND,26,11,4,824.0,Non-unique-ticker
2838,NA,KINDER MORGAN EN.PTNS. CL.B,KMP,56,15,6,824.0,Non-unique-ticker
2839,NA,KINDER MORGAN EN.PTNS. CL.I,KMP,56,15,6,824.0,Non-unique-ticker
2853,US4989041011,KNOLL INC.,KNL,919,41,8,,Non-unique-ticker
2852,US4989042001,KNOLL DEAD - DELIST.20/07/21,KNL,919,41,8,1342.0,Non-unique-ticker
2842,NA,KINIKSA PHARMACEUTICALS LTD CL B,KNSA,64,15,7,824.0,Non-unique-ticker
2843,NA,KINIKSA PHARMACEUTICALS LTD CL B1,KNSA,64,15,7,824.0,Non-unique-ticker
2844,NA,KINIKSA PHARMACEUTICALS LTD CL C,KNSA,64,15,7,824.0,Non-unique-ticker
2831,NA,KHOSLA VENTURES ACQUISITION CL B,KVSA,2,2,1,824.0,Non-unique-ticker
2832,NA,KHOSLA VENTURES ACQUISITION CL C,KVSA,2,2,1,824.0,Non-unique-ticker
2835,NA,KHOSLAAVENTURES ACQUISITIONAIII CL B,KVSC,4,2,1,824.0,Non-unique-ticker
2836,NA,KHOSLAAVENTURES ACQUISITIONAIII CL C,KVSC,4,2,1,824.0,Non-unique-ticker
2905,NA,LITHIA MOTORS 'B',LAD,734,33,9,824.0,Non-unique-ticker
1065,US5367971034,LITHIA MOTORS,LAD,734,33,9,1509.0,Non-unique-ticker
2896,NA,LIBERTY OILFIELD SERVICES INC CL B,LBRT,194,18,7,824.0,Non-unique-ticker
1053,US53115L1044,LIBERTY OILFIELD SVS.'A',LBRT,194,18,7,1051.0,Non-unique-ticker
3206,NA,RIBBIT LEAP LTD CL B,LEAP,0,0,0,824.0,Non-unique-ticker
3207,NA,RIBBIT LEAP LTD CL C,LEAP,0,0,0,824.0,Non-unique-ticker
1048,US5260571048,LENNAR 'A',LEN,1006,30,8,1509.0,Non-unique-ticker
1049,US5260573028,LENNAR 'B',LEN,1006,30,8,1509.0,Non-unique-ticker
1062,CA5362211040,LION ELECTRIC,LEV,0,0,0,362.0,Non-unique-ticker
3040,NA,NORTHERN GENESIS ACQUISITION CL B,LEV,0,0,0,824.0,Non-unique-ticker
2888,NA,LEVI STRAUSS & CO,LEVI,791,33,8,824.0,Non-unique-ticker
2889,NA,LEVI STRAUSS AND CO,LEVI,791,33,8,824.0,Non-unique-ticker
1051,US52736R1023,LEVI STRAUSS A,LEVI,791,33,8,754.0,Non-unique-ticker
1063,CA5359194019,LIONS GATE ENTM.'A',LGF.A,1188,42,10,1509.0,Non-unique-ticker
1064,CA5359195008,LIONS GATE ENTM.'B' NV. SHS.,LGF.A,1188,42,10,1325.0,Non-unique-ticker
1060,IE00BZ12WP82,LINDE,LIN,202,25,6,1509.0,Non-unique-ticker
2901,NA,LIN TV CL.B DEAD - 22/12/14,LIN,202,25,6,824.0,Non-unique-ticker
2902,NA,LIN TV CL.C DEAD - 22/12/14,LIN,202,25,6,824.0,Non-unique-ticker
2919,NA,LUXOFT HOLDING INC CL B,LXFT,0,0,0,824.0,Non-unique-ticker
2918,VGG572791041,LUXOFT HOLDING DEAD - DELIST.14/06/19,LXFT,0,0,0,814.0,Non-unique-ticker
1098,KYG5784H1065,MANCHESTER UNITED CL.A,MANU,0,0,0,1509.0,Non-unique-ticker
2933,NA,MANCHESTER UNITED CL.B,MANU,0,0,0,824.0,Non-unique-ticker
2955,NA,MEDIAALPHA INC CL B,MAX,213,20,7,824.0,Non-unique-ticker
1133,US58450V1044,MEDIAALPHA A,MAX,213,20,7,348.0,Non-unique-ticker
2972,NA,MOELIS CLASS B,MC,493,14,8,824.0,Non-unique-ticker
1166,US60786M1053,MOELIS CLASS A,MC,493,14,8,1509.0,Non-unique-ticker
2927,NA,MAGNA ENTM.'B',MECA,48,17,5,824.0,Non-unique-ticker
2928,NA,MAGNA ENTM.EXH.,MECA,48,17,5,824.0,Non-unique-ticker
2954,US5844042060,MEDIA GENERAL INC. CLASS B,MEG,92,14,6,,Non-unique-ticker
1172,US6151111019,MONTROSE ENVIRONMENTAL GRP,MEG,92,14,6,416.0,Non-unique-ticker
1095,CA5592224011,MAGNA INTL. (NYS),MG,515,23,8,1509.0,Non-unique-ticker
1160,US60649T1079,MISTRAS GROUP,MG,515,23,8,1509.0,Non-unique-ticker
2929,NA,MAGNOLIA OIL GAS CORP CL B,MGY,198,17,8,824.0,Non-unique-ticker
2930,NA,MAGNOLIA OIL GAS CORP CL C,MGY,198,17,8,824.0,Non-unique-ticker
1097,US5596631094,MAGNOLIA OIL GAS A,MGY,198,17,8,1187.0,Non-unique-ticker
1126,US5797801074,MCCORMICK & CO,MKC,1409,46,7,1509.0,Non-unique-ticker
1127,US5797802064,MCCORMICK & COMPANY NV.,MKC,1409,46,7,1509.0,Non-unique-ticker
3067,NA,ONE CO CL B,MKFG,28,12,4,824.0,Non-unique-ticker
1110,US57064N1028,MARKFORGED HOLDING,MKFG,28,12,4,362.0,Non-unique-ticker
1,US88579Y1010,3M,MMM,2325,88,7,1509.0,Non-unique-ticker
2970,US88579Y1010,MINNESOTA MNG.MNFG.(XSQ) DEAD - DEAD,MMM,2325,88,7,1509.0,Non-unique-ticker
2191,NA,BRIGHAM MINERALS CL B,MNRL,145,21,7,824.0,Non-unique-ticker
292,US10918L1035,BRIGHAM MINERALS A,MNRL,145,21,7,734.0,Non-unique-ticker
1174,US6153942023,MOOG 'A',MOG.A,736,36,9,1509.0,Non-unique-ticker
1175,US6153943013,MOOG 'B',MOG.A,736,36,9,1509.0,Non-unique-ticker
2981,NA,MONUMENT CIRCLE ACQUISITION CL B,MON,0,0,0,824.0,Non-unique-ticker
2978,US61166W1018,MONSANTO DEAD - DELIST.07/06/18,MON,0,0,0,558.0,Non-unique-ticker
2588,NA,FORTRESS VALUE ACQUISITION CO CL B,MP,94,14,6,824.0,Non-unique-ticker
1180,US5533681012,MP MATERIALS A,MP,94,14,6,438.0,Non-unique-ticker
2926,NA,MADISON SQUARE GARDEN ENTERTAINMENT CL B,MSGE,59,15,4,824.0,Non-unique-ticker
1093,US55826T1025,MADISON SQUARE GARDEN ENTERTAINMENT A,MSGE,59,15,4,488.0,Non-unique-ticker
2989,NA,MSC INDL.DIRECT CO.,MSM,1763,37,10,824.0,Non-unique-ticker
1183,US5535301064,MSC INDL.DIRECT 'A',MSM,1763,37,10,1509.0,Non-unique-ticker
2941,NA,MATERIAL TECHS.'B',MTCH,1866,47,8,824.0,Non-unique-ticker
2942,NA,MATERIAL TECHS.'B',MTCH,1866,47,8,824.0,Non-unique-ticker
3527,NA,VAIL RESORTS INC,MTN,814,41,8,824.0,Non-unique-ticker
1790,US91879Q1094,VAIL RESORTS,MTN,814,41,8,1509.0,Non-unique-ticker
2996,NA,MULESOFT INC CL B DEAD - 02/05/18,MULE,138,34,7,824.0,Non-unique-ticker
2995,US6252071054,MULESOFT 'A' DEAD - DELIST.02/05/18,MULE,138,34,7,283.0,Non-unique-ticker
3009,NA,NAVISTAR INTL CORP CLASS B,NAV,724,60,8,824.0,Non-unique-ticker
3010,US63934E1082,NAVISTAR INTL. DEAD - DELIST.01/07/21,NAV,724,60,8,1330.0,Non-unique-ticker
1193,BMG6359F1370,NABORS INDUSTRIES,NBR,384,24,9,1509.0,Non-unique-ticker
2999,NA,NABORS INDUSTRIES CLASS A,NBR,384,24,9,824.0,Non-unique-ticker
3000,NA,NABORS INDUSTRIES CLASS B,NBR,384,24,9,824.0,Non-unique-ticker
3001,NA,NACCO INDUSTRIES 'B',NC,1858,122,6,824.0,Non-unique-ticker
1194,US6295791031,NACCO INDUSTRIES 'A',NC,1858,122,6,1509.0,Non-unique-ticker
3014,NA,NEIMAN MARCUS GROUP ADJUSTED VOTING,NMG+A,1517,103,9,824.0,Non-unique-ticker
3015,US6402042021,NEIMAN-MARCUS GP.'A' DEAD - DUPL.SEE 756200,NMG+A,1517,103,9,,Non-unique-ticker
3016,NA,NELNET 'B',NNI,596,34,9,824.0,Non-unique-ticker
1213,US64031N1081,NELNET 'A',NNI,596,34,9,1509.0,Non-unique-ticker
3048,NA,NU SKIN ENTERPRISES INC,NUS,1141,53,10,824.0,Non-unique-ticker
1259,US67018T1051,NU SKIN ENTERPRISES 'A',NUS,1141,53,10,1509.0,Non-unique-ticker
3088,NA,PANACEA ACQUISITION CL B,NUVB,22,9,5,824.0,Non-unique-ticker
1262,US67080N1019,NUVATION BIO A,NUVB,22,9,5,392.0,Non-unique-ticker
3027,NA,NEW YORK TIMES CO. 'B',NYT,948,66,10,824.0,Non-unique-ticker
1223,US6501111073,NEW YORK TIMES 'A',NYT,948,66,10,1509.0,Non-unique-ticker
3060,NA,OIL-DRI CORP OF AMER CLASS B,ODC,477,35,9,824.0,Non-unique-ticker
1273,US6778641000,OIL-DRI AM.,ODC,477,35,9,1509.0,Non-unique-ticker
1279,CH1134540470,ON HOLDING A,ONON,0,0,0,127.0,Non-unique-ticker
3066,NA,ON HOLDING AG CL B,ONON,0,0,0,824.0,Non-unique-ticker
2555,NA,FG NEW AMERICA ACQUISITION CL B,OPFI,62,8,3,824.0,Non-unique-ticker
1290,US68386H1032,OPPFI A,OPFI,62,8,3,331.0,Non-unique-ticker
3079,NA,OSCAR HEALTH INC CL B,OSCR,76,18,5,824.0,Non-unique-ticker
1300,US6877931096,OSCAR HEALTH A,OSCR,76,18,5,263.0,Non-unique-ticker
2000,NA,ALTIMAR ACQUISITION CORP CL C,OWL,72,25,5,824.0,Non-unique-ticker
2164,NA,BLUE OWL CAPITAL INC CL D,OWL,72,25,5,824.0,Non-unique-ticker
2165,NA,BLUE OWL CAPITAL INC CL E,OWL,72,25,5,824.0,Non-unique-ticker
2166,NA,BLUE OWL CAPITAL INC CL F,OWL,72,25,5,824.0,Non-unique-ticker
265,US09581B1035,BLUE OWL CAPITAL A,OWL,72,25,5,316.0,Non-unique-ticker
3129,NA,PLAINS ALL AMER PIPE,PAA,706,45,9,824.0,Non-unique-ticker
3130,NA,PLAINS ALL AMER PIPE,PAA,706,45,9,824.0,Non-unique-ticker
3068,KYG6772P1182,ONE MADISON UNITS DEAD - DELIST.03/06/19,PACK,0,0,0,344.0,Non-unique-ticker
1421,US75321W1036,RANPAK HOLDINGS A,PACK,0,0,0,1017.0,Non-unique-ticker
3503,NA,UNITED AUTO GP.INC,PAG,448,28,8,824.0,Non-unique-ticker
1337,US70959W1036,PENSKE AUTOMOTIVE GP.,PAG,448,28,8,1509.0,Non-unique-ticker
3089,NA,PANACEA ACQUISITION II CL B,PANA,1,1,1,824.0,Non-unique-ticker
3090,NA,PANACEA ACQUISITION II CL C,PANA,1,1,1,824.0,Non-unique-ticker
3499,NA,UIPATH INC CL B,PATH,86,18,7,824.0,Non-unique-ticker
1750,US90364P1057,UIPATH A,PATH,86,18,7,229.0,Non-unique-ticker
1327,US70439P1084,PAYMENTUS HOLDINGS A,PAY,0,0,0,204.0,Non-unique-ticker
3547,US92342Y1091,VERIFONE SYSTEMS DEAD - DELIST.21/08/18,PAY,0,0,0,609.0,Non-unique-ticker
3109,NA,PERIPHAS CAPITAL PARTNERING CO CL B,PCPC,2,2,1,824.0,Non-unique-ticker
3110,NA,PERIPHAS CAPITAL PARTNERING CO CL C,PCPC,2,2,1,824.0,Non-unique-ticker
1380,CA74022D4075,PRECISION DRILLING (NYS),PD,251,19,8,1509.0,Non-unique-ticker
1313,US69553P1003,PAGERDUTY,PD,251,19,8,739.0,Non-unique-ticker
3123,NA,PINTEREST INC CL B,PINS,466,24,7,824.0,Non-unique-ticker
1360,US72352L1061,PINTEREST A,PINS,466,24,7,734.0,Non-unique-ticker
3086,NA,PALANTIR TECHNOLOGIES INC CL B,PLTR,237,13,6,824.0,Non-unique-ticker
3087,NA,PALANTIR TECHNOLOGIES INC CL C,PLTR,237,13,6,824.0,Non-unique-ticker
1315,US69608A1088,PALANTIR TECHNOLOGIES A,PLTR,237,13,6,368.0,Non-unique-ticker
1333,CA7063271034,PEMBINA PIPELINE (NYS),PPL,835,39,9,1509.0,Non-unique-ticker
1379,US69351T1060,PPL,PPL,835,39,9,1509.0,Non-unique-ticker
3164,NA,PRUDENTIAL FINL.CL.B,PRU,1121,49,9,824.0,Non-unique-ticker
1397,US7443201022,PRUDENTIAL FINL.,PRU,1121,49,9,1509.0,Non-unique-ticker
3132,NA,PLURALSIGHT INC CL B,PS,262,17,8,824.0,Non-unique-ticker
3133,NA,PLURALSIGHT INC CL C,PS,262,17,8,824.0,Non-unique-ticker
3103,NA,PENN VA.RES.PTNS.LP,PVR,366,27,7,824.0,Non-unique-ticker
3104,NA,PENN VA.RES.PTNS.LP,PVR,366,27,7,824.0,Non-unique-ticker
3128,NA,PIVOTAL SOFTWARE INC CL B,PVTL,112,13,5,824.0,Non-unique-ticker
3127,US72582H1077,PIVOTAL SOFTWARE A DEAD - DELIST.31/12/19,PVTL,112,13,5,426.0,Non-unique-ticker
2829,NA,KENSINGTON CAPITAL ACQUISITION CL B,QS,175,18,9,824.0,Non-unique-ticker
1412,US74767V1098,QUANTUMSCAPE A,QS,175,18,9,399.0,Non-unique-ticker
3223,NA,ROCKET COMPANIES INC CL B,RKT,113,12,7,824.0,Non-unique-ticker
3224,NA,ROCK-TENN COMPANY,RKT,113,12,7,824.0,Non-unique-ticker
1463,US77311W1018,ROCKET COMPANIES A,RKT,113,12,7,406.0,Non-unique-ticker
3140,NA,POLO RALPH LAUREN CORP. 'B',RL,1220,37,9,824.0,Non-unique-ticker
1418,US7512121010,RALPH LAUREN CL.A,RL,1220,37,9,1509.0,Non-unique-ticker
3217,NA,RMG ACQUISITION CORP CL B,RMO,51,17,6,824.0,Non-unique-ticker
1469,US7761531083,ROMEO POWER A,RMO,51,17,6,747.0,Non-unique-ticker
3213,NA,RINGCENTRAL CLASS B,RNG,1105,26,8,824.0,Non-unique-ticker
1453,US76680R2067,RINGCENTRAL,RNG,1105,26,8,1509.0,Non-unique-ticker
3179,NA,RANGER ENERGY SVS CL B,RNGR,109,17,7,824.0,Non-unique-ticker
1420,US75282U1043,RANGER ENERGY SVS.'A',RNGR,109,17,7,1157.0,Non-unique-ticker
2424,NA,DMY TECHNOLOGY GROUP INC CL B,RSI,0,0,0,824.0,Non-unique-ticker
2427,US2332532025,DMY TECHNOLOGY GROUP REDEEMABLE UNITS A,RSI,0,0,0,217.0,Non-unique-ticker
1455,IL0011786493,RISKIFIED A,RSKD,0,0,0,160.0,Non-unique-ticker
3214,NA,RISKIFIEDALTD CL B,RSKD,0,0,0,824.0,Non-unique-ticker
3204,NA,REVOLVE GROUP LLC CL B,RVLV,227,11,7,824.0,Non-unique-ticker
1449,US76156B1070,REVOLVE GROUP A,RVLV,227,11,7,700.0,Non-unique-ticker
3238,NA,RYAN SPECIALTY GROUP HOLDINGS CL B,RYAN,32,13,8,824.0,Non-unique-ticker
1476,US78351F1075,RYAN SPECIALTY GROUP HOLDINGS A,RYAN,32,13,8,165.0,Non-unique-ticker
3282,NA,SENTINELONE INC CL B,S,0,0,0,824.0,Non-unique-ticker
1518,US81730H1095,SENTINELONE A,S,0,0,0,180.0,Non-unique-ticker
3354,US85207U1051,SPRINT DEAD - DELIST.01/04/20,S,0,0,0,1015.0,Non-unique-ticker
3241,NA,SAGOON INC CL B,SAGN,0,0,0,824.0,Non-unique-ticker
3242,NA,SAGOON INC CL C,SAGN,0,0,0,824.0,Non-unique-ticker
3333,NA,SONIC AUTOMOTIVE CL.B,SAH,591,26,9,824.0,Non-unique-ticker
1568,US83545G1022,SONIC AUTOMOTIVE 'A',SAH,591,26,9,1509.0,Non-unique-ticker
2183,NA,BOSTON BEER 'B',SAM,2319,31,9,824.0,Non-unique-ticker
277,US1005571070,BOSTON BEER 'A',SAM,2319,31,9,1509.0,Non-unique-ticker
3368,NA,STEELCASE 'B',SCS,1326,47,8,824.0,Non-unique-ticker
1601,US8581552036,STEELCASE 'A',SCS,1326,47,8,1509.0,Non-unique-ticker
3394,NA,SWEETGREEN INC CL B,SG,51,16,6,824.0,Non-unique-ticker
1630,US87043Q1085,SWEETGREEN A,SG,51,16,6,81.0,Non-unique-ticker
3297,NA,SILVERGATE CAPITAL CORP CL B,SI,173,17,7,824.0,Non-unique-ticker
1538,US82837P4081,SILVERGATE CAPITAL A,SI,173,17,7,593.0,Non-unique-ticker
2276,NA,CHURCHILL CAPITAL CORP CL B,SKIL,39,13,4,824.0,Non-unique-ticker
1551,US83066P2002,SKILLSOFT A,SKIL,39,13,4,666.0,Non-unique-ticker
2578,NA,FLYING EAGLE ACQUISITION CORP CL B,SKLZ,53,12,7,824.0,Non-unique-ticker
1552,US83067L1098,SKILLZ A,SKLZ,53,12,7,477.0,Non-unique-ticker
3302,NA,SKECHERS USA 'B',SKX,618,17,9,824.0,Non-unique-ticker
1549,US8305661055,SKECHERS USA 'A',SKX,618,17,9,1509.0,Non-unique-ticker
3310,NA,SMARTSHEET INC CL B,SMAR,852,25,8,824.0,Non-unique-ticker
1557,US83200N1037,SMARTSHEET A,SMAR,852,25,8,979.0,Non-unique-ticker
2557,NA,FIFTH WALL ACQUISITION CORP I CL B,SMRT,0,0,0,824.0,Non-unique-ticker
1556,US83193G1076,SMARTRENT A,SMRT,0,0,0,280.0,Non-unique-ticker
3315,NA,SNAP INC CL B,SNAP,537,26,8,824.0,Non-unique-ticker
3316,NA,SNAP INC CL C,SNAP,537,26,8,824.0,Non-unique-ticker
1560,US83304A1060,SNAP 'A',SNAP,537,26,8,1270.0,Non-unique-ticker
3255,NA,SCHNEIDER NATIONAL INC CL B,SNDR,326,33,7,824.0,Non-unique-ticker
1498,US80689H1023,SCHNEIDER NATIONAL 'B',SNDR,326,33,7,1245.0,Non-unique-ticker
3317,NA,SNOWFLAKE INC CL B,SNOW,256,17,8,824.0,Non-unique-ticker
1562,US8334451098,SNOWFLAKE A,SNOW,256,17,8,378.0,Non-unique-ticker
3330,NA,SOLARIS OILFIELD INFRASTRUCTURE INC CL B,SOI,214,18,7,824.0,Non-unique-ticker
1564,US83418M1036,SOLARIS OILFIELD INFR. 'A',SOI,214,18,7,1220.0,Non-unique-ticker
3299,NA,SIMON PR.GP.'B',SPG,698,42,8,824.0,Non-unique-ticker
