,ISIN CODE,NAME,TICKER SYMBOL,trade_count,n_distinct_traders,n_distinct_trade_types,ts_rows,reason_to_exclude
2522,NA,EUROPEAN WAX CENTER CL B,EWCZ,58,14,5,824.0,Missing ISIN
2537,NA,EZCORP 'B',EZPW,648,61,9,824.0,Missing ISIN
2587,NA,FORTRESS CAPITAL ACQ CL B,FCAX,2,2,1,824.0,Missing ISIN
2539,NA,FAIRCHILD SEMICONDUCTOR INTL.'B',FCS,840,45,7,824.0,Missing ISIN
2770,NA,INTELEFILM NV.,FILM,2,1,1,824.0,Missing ISIN
2562,NA,FINISH LINE 'B' DEAD - 19/06/18,FINL,810,39,10,824.0,Missing ISIN
2550,NA,FEDDERS 'B',FJCC,115,25,7,824.0,Missing ISIN
2598,NA,FRANKLIN CAPITAL,FKL,115,17,7,824.0,Missing ISIN
2600,NA,FRAZIER LFSC.ACQ.CL B,FLAC,2,1,2,824.0,Missing ISIN
2575,NA,FLAME ACQUISITION CORP CL B,FLME,3,3,1,824.0,Missing ISIN
2577,NA,FLUENCE ENERGY INC CL B,FLNC,22,13,5,824.0,Missing ISIN
1931,NA,1-800-FLOWERS.COM 'B',FLWS,886,41,9,824.0,Missing ISIN
2572,NA,FIRSTMARK HORIZON ACQUISITION CO CL B,FMAC,8,4,2,824.0,Missing ISIN
2585,NA,FORMA THERAPEUTICS HOLDINGS CL B,FMTX,56,21,5,824.0,Missing ISIN
2614,NA,FUNKO INC CL B,FNKO,442,19,6,824.0,Missing ISIN
2596,NA,FOX ENTM.GP.INC,FOX,88,6,5,824.0,Missing ISIN
2541,NA,FAIRPOINT COMMS.'C',FRCMQ,257,43,8,824.0,Missing ISIN
1947,NA,ACT GLOBAL ACQUISITION CL B,FREE,43,12,6,824.0,Missing ISIN
2603,NA,FRIEDMAN,FRM,172,19,7,824.0,Missing ISIN
2544,NA,FAST ACQUISITION CORP CL B,FST,26,2,2,824.0,Missing ISIN
2565,NA,FINTECH ACQUISITION CORP V CL B,FTCV,14,2,3,824.0,Missing ISIN
2590,NA,FORTRESS VALUE ACQUISITION IV CL B,FVIV,5,5,1,824.0,Missing ISIN
2589,NA,FORTRESS VALUE ACQUISITION III CL B,FVT,5,5,1,824.0,Missing ISIN
2558,NA,FIFTH WALL ACQUISITION III CL B,FWAC,3,3,1,824.0,Missing ISIN
2621,NA,GAIAM 'B',GAIA,286,24,9,824.0,Missing ISIN
2632,NA,GENERAL BINDING CORP CLASS B,GBND,97,15,6,824.0,Missing ISIN
2630,NA,GENCOR INDUSTRIES 'B',GENC,403,17,7,824.0,Missing ISIN
2641,NA,GENZYME CORP.,GENZ,390,31,7,824.0,Missing ISIN
2639,NA,GENTEK 'B',GETI,306,26,8,824.0,Missing ISIN
2619,NA,G3 VRM ACQUISITION CORP CL B,GGGV,1,1,1,824.0,Missing ISIN
2646,NA,GLENFARNE MERGER CORP CL B,GGMC,4,2,1,824.0,Missing ISIN
2644,NA,GLASS HOUSES ACQUISITION CL B,GLHA,1,1,1,824.0,Missing ISIN
3614,NA,WRP CMON.,GLOV,2,2,2,824.0,Missing ISIN
2234,NA,CAPSTAR SPECIAL PURPOSE ACSTN CL B,GLS,19,15,3,824.0,Missing ISIN
2649,NA,GLOBAL SPAC PARTNERS CO CL B,GLSPU,2,2,1,824.0,Missing ISIN
2682,NA,GROUP NINE ACQUISITION CORP CL B,GNAC,2,1,1,824.0,Missing ISIN
2866,NA,LANDCADIA HOLDINGS INC CL B,GNOG,16,8,3,824.0,Missing ISIN
2634,NA,GENERAL DATACOMM IND.,GNRD,9,6,3,824.0,Missing ISIN
2654,NA,GOBI ACQUISITION CORP CL B,GOBI,3,3,1,824.0,Missing ISIN
2656,NA,GOHEALTH INC CL B,GOCO,57,16,6,824.0,Missing ISIN
