,X,FilingDate,TradeDate,Ticker,CompanyName,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
10,,2022-06-17 17:15:36,2022-06-16,JXN,Jackson Financial Inc.,Romine Scott,"Pres, CEO, JNLD",A - Grant,0.0,752,53639,+1%,0.0,,,,,JXN+WI
11,,2022-06-17 17:14:51,2022-06-16,JXN,Jackson Financial Inc.,Smith Craig Donald,"CEO, CIO, Pres PPM America",A - Grant,0.0,794,59906,+1%,0.0,,,,,JXN+WI
12,,2022-06-17 17:13:56,2022-06-16,JXN,Jackson Financial Inc.,Chelko Carrie,"EVP, GC, Secretary",A - Grant,0.0,829,50428,+2%,0.0,,,,,JXN+WI
13,,2022-06-17 16:17:13,2022-06-16,JXN,Jackson Financial Inc.,Stecher Esta E,Dir,A - Grant,0.0,273,22580,+1%,0.0,,,,,JXN+WI
14,,2022-06-17 16:16:30,2022-06-16,JXN,Jackson Financial Inc.,Noles Russell G,Dir,A - Grant,0.0,196,18458,+1%,0.0,,,,,JXN+WI
15,,2022-06-17 16:15:40,2022-06-16,JXN,Jackson Financial Inc.,Lippert Martin J,Dir,A - Grant,0.0,260,21212,+1%,0.0,,,,,JXN+WI
16,,2022-06-17 16:14:27,2022-06-16,JXN,Jackson Financial Inc.,Lawton Drew,Dir,A - Grant,0.0,196,14375,+1%,0.0,,,,,JXN+WI
17,,2022-06-17 16:13:34,2022-06-16,JXN,Jackson Financial Inc.,Kirkland Derek G,Dir,A - Grant,0.0,196,27633,+1%,0.0,,,,,JXN+WI
18,,2022-06-17 16:12:22,2022-06-16,JXN,Jackson Financial Inc.,Kandarian Steven A,Dir,A - Grant,0.0,1252,73767,+2%,0.0,,,,,JXN+WI
19,,2022-06-17 16:11:43,2022-06-16,JXN,Jackson Financial Inc.,Claffee Lily Fu,Dir,A - Grant,0.0,260,21212,+1%,0.0,,,,,JXN+WI
20,,2022-06-17 13:36:31,2022-06-16,JXN,Jackson Financial Inc.,Durant Gregory T,Dir,A - Grant,0.0,196,17375,+1%,0.0,,,,,JXN+WI
